date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:19:55	67123/67123	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Apr%202023%2023:19:54%20GMT	http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128/http_/www.microsoft.com/en/us/default.html	(from )
09:19:55	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Apr%202023%2023:19:55%20GMT	http://web.archive.org/robots.txt		(from )
09:19:56	15062/15062	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22619d55a9-3ad6%22	http://archive.org/includes/analytics.js?v=cf34f82	/home/ascend/websites/Winux7T1/archive.org/includes/analytics2a5b.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:19:57	32550/32550	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2005:16:04%20GMT	http://web.archive.org/_static/js/bundle-playback.js?v=TPXmWR5s	/home/ascend/websites/Winux7T1/web.archive.org/_static/js/bundle-playback78ca.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:01	126763/126763	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2001%20Apr%202023%2005:16:05%20GMT	http://web.archive.org/_static/js/wombat.js?v=txqj7nKC	/home/ascend/websites/Winux7T1/web.archive.org/_static/js/wombat9b8c.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:05	9867/9867	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2005:16:12%20GMT	http://web.archive.org/_static/css/banner-styles.css?v=S1zqJCYt	/home/ascend/websites/Winux7T1/web.archive.org/_static/css/banner-styles52e6.css	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:05	5825/5825	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2005:16:29%20GMT	http://web.archive.org/_static/css/iconochive.css?v=qtvMKcIJ	/home/ascend/websites/Winux7T1/web.archive.org/_static/css/iconochive8307.css	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:06	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:06%20GMT	http://web.archive.org/web/20091022130128cs_/http://www.microsoft.com/en/shared/core/2/css/css.ashx?sc=/en/us/site.config&pc=/En/us/PageConfig/win7/HPTakeOver.config.xml&m=cspMscomHomePageBase	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128cs_/http_/www.microsoft.com/en/shared/core/2/css/css09f9.ashx	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:07	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:07%20GMT	http://web.archive.org/web/20091022130128cs_/http://www.microsoft.com/en/shared/core/2/css/css.ashx?sc=/en/us/site.config&pc=/En/us/PageConfig/win7/HPTakeOver.config.xml&c=cspMscomHeader	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128cs_/http_/www.microsoft.com/en/shared/core/2/css/css9797.ashx	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:08%20GMT	http://web.archive.org/web/20091022130128cs_/http://www.microsoft.com/en/shared/core/2/css/css.ashx?sc=/en/us/site.config&pc=/En/us/PageConfig/win7/HPTakeOver.config.xml&pt=cspMscomHomePage&c=cspMscomSiteBrand;cspSearchComponent;cspFlexImage;cspMscomMasterNavigation;cspSilverGate	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128cs_/http_/www.microsoft.com/en/shared/core/2/css/css307d.ashx	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:09	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:09%20GMT	http://web.archive.org/web/20091022130128js_/http://i3.microsoft.com/library/svy/broker.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128js_/http_/i3.microsoft.com/library/svy/broker.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:10	19193/19193	---M--	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202023%2023:20:10%20GMT	http://web.archive.org/web/20091030022940js_/http://i3.microsoft.com/library/svy/broker.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091030022940js_/http_/i3.microsoft.com/library/svy/broker.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:11%20GMT	http://web.archive.org/web/20091022130128cs_/http://www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverStyle.css	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128cs_/http_/www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverStyle.css	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:12	1313/1313	---MCZ	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202023%2023:20:12%20GMT	http://web.archive.org/web/20091029104257cs_/http://www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverStyle.css	/home/ascend/websites/Winux7T1/web.archive.org/web/20091029104257cs_/http_/www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverStyle.css	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:13%20GMT	http://web.archive.org/web/20091022130128js_/http://i3.microsoft.com/global/en/us/RenderingAssets/Silverlight.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128js_/http_/i3.microsoft.com/global/en/us/RenderingAssets/Silverlight.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:14	16353/16353	---M--	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202023%2023:20:14%20GMT	http://web.archive.org/web/20091030022956js_/http://i3.microsoft.com/global/en/us/RenderingAssets/Silverlight.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091030022956js_/http_/i3.microsoft.com/global/en/us/RenderingAssets/Silverlight.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2001%20Apr%202023%2023:20:15%20GMT	http://web.archive.org/web/20091022130128js_/http://www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverScript.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091022130128js_/http_/www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverScript.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
09:20:16	1840/1840	---M--	200	added ('OK')	application/x-javascript	date:Sat,%2001%20Apr%202023%2023:20:16%20GMT	http://web.archive.org/web/20091029104346js_/http://www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverScript.js	/home/ascend/websites/Winux7T1/web.archive.org/web/20091029104346js_/http_/www.microsoft.com/global/en/us/RenderingAssets/win7/TakeOverScript.js	(from http://web.archive.org/web/20091022130128/http://www.microsoft.com/en/us/default.aspx)
